PestSpecies,PestCode,Location,GatewayAlias,Region,week_start,observed_days,PestCount,TrapTemperature,TrapHumidity,Year,Week,MaxT,MinT,RH1,RH2,RF,WS,SSH,EVP
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-01-01,7,0.0,11.65857142857143,59.174285714285716,2022,52,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-01-08,7,0.0,13.637142857142857,72.76285714285714,2023,1,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-01-15,7,1.0,7.051428571428572,62.098571428571425,2023,2,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-01-22,7,0.0,4.454285714285715,60.277142857142856,2023,3,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-01-29,7,0.0,9.962857142857143,55.451428571428565,2023,4,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-02-05,7,0.0,8.867142857142857,91.29857142857144,2023,5,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-02-12,7,0.0,10.581428571428573,69.18142857142857,2023,6,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-02-19,7,1.0,8.997142857142856,64.87571428571428,2023,7,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-02-26,7,6.0,16.580000000000002,48.68,2023,8,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-03-05,7,1.0,22.497142857142855,55.059999999999995,2023,9,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-03-12,7,0.0,15.422857142857143,57.77571428571429,2023,10,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-03-19,7,0.0,13.767142857142858,77.53999999999999,2023,11,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-03-26,7,2.0,19.41,59.41142857142857,2023,12,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-04-02,7,5.0,17.244285714285716,71.11714285714285,2023,13,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-04-09,7,2.0,24.618571428571425,52.598571428571425,2023,14,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-04-16,7,0.0,25.214285714285715,61.371428571428574,2023,15,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-04-23,7,1.0,19.90857142857143,66.11142857142856,2023,16,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-04-30,7,1.0,24.36285714285714,70.35714285714286,2023,17,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-05-07,7,0.0,23.005714285714284,59.620000000000005,2023,18,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-05-14,7,1.0,28.13714285714286,64.23428571428572,2023,19,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-05-21,7,2.0,24.882857142857144,73.0957142857143,2023,20,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-05-28,7,14.0,30.157142857142855,68.74714285714286,2023,21,,,,,,,,
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-06-04,7,18.0,28.912857142857145,70.65714285714286,2023,22,32.3,20.1,84.14,74.14,29.6,2.38,48.59,25.72
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-06-11,7,14.0,29.985714285714288,67.06571428571428,2023,23,34.2,16.0,80.43,75.0,31.1,2.66,59.78,28.9
甜菜夜蛾,BAW,江宁槐湖果园测报点_1_15_诱虫量,江宁槐湖果园测报点,江苏省南京市江宁区,2023-06-18,7,14.0,29.284285714285716,80.65857142857143,2023,24,32.4,19.2,80.14,65.0,8.5,2.69,57.13,31.06
