PestSpecies,PestCode,Location,week_start,target_date,Prediction
大螟,PSB,横梁艾津稻园 大螟_1_11_诱虫量,2024-12-29,2025-01-05,0.0764103815225253
大螟,PSB,江宁区 横溪街道 大螟_1_51_诱虫量,2024-12-29,2025-01-05,0.7526031160246405
大螟,PSB,溧水区 叁拾叁_2_43_诱虫量,2024-12-29,2025-01-05,0.0764103815225253
稻纵卷叶螟,RLF,东坝街道马家冲_1_52_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,八卦洲街道中桥九组_1_54_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,冶山季王稻纵_1_34_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,南京农业大学白马教学科研基地稻纵_1_53_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,孔镇稻纵卷叶螟_1_31_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,桠溪街道6月前粘虫后稻纵_1_38_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,桥林街道马骡圩村_1_40_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,横梁艾津稻纵_1_47_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,横溪街道稻纵_1_26_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,永宁街道青山村_1_28_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,江宁街道稻纵_1_36_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,汤农稻纵卷叶螟监测点_1_48_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,汤山街道稻纵_1_20_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,浦口区滨江榴园南_1_25_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,淳化街道稻纵_1_39_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,湖熟街道稻纵_1_27_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,溧水区 叁拾叁_3_30_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,秣陵街道李家村_1_33_诱虫量,2024-12-29,2025-01-05,0.035258252109802365
稻纵卷叶螟,RLF,程桥金山稻纵_1_35_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,竹镇镇光华村 稻纵_1_32_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,金牛湖街道 稻纵_1_23_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,雄州街道钱仓村 稻纵_1_46_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,马鞍街道 稻纵_1_22_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,龙池街道头桥村 稻纵_1_44_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,龙潭街道东化_1_24_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,龙潭街道地心_1_19_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
稻纵卷叶螟,RLF,龙袍长江社区稻纵_1_18_诱虫量,2024-12-29,2025-01-05,0.03338047753833381
二化螟,SSB,冶山街道 二化螟_1_7_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,固城街道前陇村_1_6_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,新 江宁区 湖熟街道 二化螟_1_49_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,桠溪街道顾陇村_1_9_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,横梁街道艾津稻园二化螟_1_8_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,江宁区 汤山街道 二化螟_1_10_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,江宁区江宁街道二化螟_1_2_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,江宁区禄口街道二化螟_1_50_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,淳化街道二化螟_1_4_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,溧水区 叁拾叁_1_21_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,程桥街道 二化螟_1_45_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,金牛湖二化螟新_1_3_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,雄州钱仓二化螟_1_1_诱虫量,2024-12-29,2025-01-05,0.0
二化螟,SSB,马鞍街道二化螟新_1_5_诱虫量,2024-12-29,2025-01-05,0.0

