PestCode,model,train_n,test_n,R2,RMSE,MAE
PSB,RandomForest,104,115,0.4990450391537219,2.6354009303315356,1.1576461549675237
PSB,ExtraTrees,104,115,0.323626493230428,3.0622500340590664,1.3066838637794715
PSB,GradientBoosting,104,115,0.460489488277222,2.7349368915686854,1.102945173060574
PSB,Stacking,104,115,-1.2346826557076338,5.566154837176797,2.238888382807541
RLF,RandomForest,1063,1225,0.21209673578433097,57.81452310591739,15.517282771057154
RLF,ExtraTrees,1063,1225,0.12659389043619396,60.870744074569174,15.88058425704575
RLF,GradientBoosting,1063,1225,0.14492127082611028,60.22870832629126,16.298747992155704
RLF,Stacking,1063,1225,0.14040078979876758,60.3877017816702,17.00179971801446
SSB,RandomForest,573,647,0.20072265123196376,43.35984459556225,12.34753101717091
SSB,ExtraTrees,573,647,0.14868365276029982,44.74911500358306,12.749403591976327
SSB,GradientBoosting,573,647,0.21831550381684528,42.87999375662094,12.302937364481258
SSB,Stacking,573,647,0.0042144125422732825,48.397383423526826,13.168130826374625

